a	ˈ aː
fagráð	f ˈ aː ɣ r au ð
fagtengdar	f ˈaː ɣ tʰ ei ŋ t a r
fagtengdi	f ˈaː ɣ tʰ ei ŋ t ɪ
fagtúni	f ˈaː ɣ tʰ u n ɪ
fagur	f ˈ aː ɣ ʏ r
fagurfræði	f ˈ aː ɣ ʏ r f r ˌ ai ð ɪ
fagurfræðinginn	f ˈaː ɣ ʏ r f r ˌai ð i ɲ c ɪ n
fagurkeri	f ˈ aː ɣ ʏ r cʰ ˌ ɛ r ɪ
fagurrauður	f ˈaː ɣ ʏ r r ˌœy ð ʏ r
fagurt	f ˈ aː ɣ ʏ r̥ t
fail	f ˈ eiː l
failed	f ˈeiː l t
failure	f ˈ eiː l j u r
fair	f ˈ ɛː r
faith	f ˈ eiː θ
fake	f ˈ eiː k
fala	f ˈ aː l a
falast	f ˈ aː l a s t
falda	f ˈ a l t a
faldi	f ˈ a l t ɪ
faldir	f ˈ a l t ɪ r
falin	f ˈ aː l ɪ n
falinn	f ˈ aː l ɪ n
falist	f ˈ aː l ɪ s t
falið	f ˈ aː l ɪ ð
fall	f ˈ a t l̥
falla	f ˈ a t l a
fallast	f ˈ a t l a s t
fallbaráttu	f ˈ a t l̥ p a r ˌ au h t ʏ
fallbaráttunni	f ˈ a t l̥ p a r au h t ʏ n ɪ
falleg	f ˈ a t l ɛ ɣ
fallega	f ˈ a t l ɛ ɣ a
fallegar	f ˈ a t l ɛ ɣ a r
fallegasta	f ˈ a t l ɛ ɣ a s t a
fallegasti	f ˈ a t l ɛ ɣ a s t ɪ
fallegastur	f ˈ a t l ɛ ɣ a s t ʏ r
fallegi	f ˈ a t l ei j ɪ
fallegir	f ˈ a t l ei j ɪ r
fallegra	f ˈ a t l ɛ ɣ r a
fallegri	f ˈ a t l ɛ ɣ r ɪ
fallegt	f ˈ a t l ɛ x t
fallegu	f ˈ a t l ɛ ɣ ʏ
fallegum	f ˈ a t l ɛ ɣ ʏ m
fallegur	f ˈ a t l ɛ ɣ ʏ r
fallegustu	f ˈ a t l ɛ ɣ ʏ s t ʏ
fallen	f ˈ ɔː l ɛ n
fallera	f ˈa l ɛ r a
fallerast	f ˈa l ɛ r a s t
falleraða	f ˈa l ɛ r a ð a
falleraðan	f ˈa l ɛ r a ð a n
falli	f ˈ a t l ɪ
fallin	f ˈ a t l ɪ n
falling	f ˈ ɔː l i ŋ
fallinn	f ˈ a t l ɪ n
fallinu	f ˈ a t l ɪ n ʏ
fallist	f ˈ a t l ɪ s t
fallið	f ˈ a t l ɪ ð
fallna	f ˈ a t l n a
fallnar	f ˈ a t l n a r
fallnir	f ˈ a t l n ɪ r
fallorð	f ˈ a t l̥ ɔ r ð
falls	f ˈ a t l̥ s
fallsins	f ˈ a t l̥ s ɪ n s
fallsæti	f ˈ a t l̥ s ai t ɪ
fallvörn	f ˈ a t l̥ v œ r t n̥
falsa	f ˈ a l s a
falsað	f ˈ a l s a ð
false	f ˈ ɔ l s
falskar	f ˈ a l s k a r
falskt	f ˈ a l s t
falt	f ˈ a l̥ t
falun	f ˈ aː l u n
falur	f ˈ aː l ʏ r
fame	f ˈ eiː m
families	f ˈ aː m ɪ l i s
family	f ˈ aː m ɪ l i
famous	f ˈ eiː m œ s
fan	f ˈ aː n
fancy	f ˈ a n s i
fang	f ˈ au ŋ k
fanga	f ˈ au ŋ k a
fangabúðum	f ˈ au ŋ k a p ˌ u ð ʏ m
fangageymslu	f ˈ au ŋ k a c ˌ ei m s t l ʏ
fangageymslur	f ˈ au ŋ k a c ˌ ei m s t l ʏ r
fangaklefa	f ˈ au ŋ k a kʰ l ˌ ɛ v a
fangana	f ˈ au ŋ k a n a
fangann	f ˈ au ŋ k a n
fanganna	f ˈ au ŋ k a n a
fangar	f ˈ au ŋ k a r
fangarnir	f ˈ au ŋ k a r t n ɪ r
fangavagninum	f ˈau ŋ k a v ˌa k n ɪ n ʏ m
fangavaktin	f ˈ au ŋ k a v ˌ a x t ɪ n
fangaverðirnir	f ˈ au ŋ k a v ˌ ɛ r ð ɪ r t n ɪ r
fangavörðurinn	f ˈ au ŋ k a v ˌ œ r ð ʏ r ɪ n
fangaði	f ˈ au ŋ k a ð ɪ
fangelsa	f ˈ au ɲ c ɛ l s a
fangelsaður	f ˈ au ɲ c ɛ l s a ð ʏ r
fangelsi	f ˈ au ɲ c ɛ l s ɪ
fangelsinu	f ˈ au ɲ c ɛ l s ɪ n ʏ
fangelsis	f ˈ au ɲ c ɛ l s ɪ s
fangelsisdóm	f ˈ au ɲ c ɛ l s ɪ s t ˌ ou m
fangelsisins	f ˈ au ɲ c ɛ l s ɪ s ɪ n s
fangelsismálastofnun	f ˈ au ɲ c ɛ l s ɪ s m au l a s t ɔ p n ʏ n
fangelsismálastofnunar	f ˈ au ɲ c ɛ l s ɪ s m au l a s t ɔ p n ʏ n a r
fangelsisrefsingu	f ˈ au ɲ c ɛ l s ɪ s r ˌ ɛ f s i ŋ k ʏ
fangelsisvist	f ˈ au ɲ c ɛ l s ɪ s v ˌ ɪ s t
fangelsisvistar	f ˈ au ɲ c ɛ l s ɪ s v ɪ s t a r
fangelsið	f ˈ au ɲ c ɛ l s ɪ ð
fangelsum	f ˈ au ɲ c ɛ l s ʏ m
fanghlutfallið	f ˈau ŋ k l̥ ʏ t f ˌa t l ɪ ð
fangi	f ˈ au ɲ c ɪ
fanginn	f ˈ au ɲ c ɪ n
fanginni	f ˈ au ɲ c ɪ n ɪ
fanginu	f ˈ au ɲ c ɪ n ʏ
fangið	f ˈ au ɲ c ɪ ð
fann	f ˈ a n
fannar	f ˈ a n a r
fannborg	f ˈ a n p ɔ r k
fanndís	f ˈ a n t i s
fanney	f ˈ a n ei
fannst	f ˈ a n s t
fans	f ˈ aː n s
fantasy	f ˈ a n̥ t a s i
fantasíu	f ˈ a n̥ t a s ˌ i j ʏ
fantur	f ˈ a n̥ t ʏ r
fao	f ˈaː ou
far	f ˈ aː r
fara	f ˈ aː r a
faraldsfæti	f ˈ aː r a l t s f ˌ ai t ɪ
faraldur	f ˈ aː r a l t ʏ r
farandbikarinn	f ˈaː r a n t p ɪ k a r ɪ n
farangri	f ˈ aː r au ŋ k r ɪ
farangrinum	f ˈ aː r au ŋ k r ɪ n ʏ m
farangur	f ˈ aː r au ŋ k ʏ r
fararbroddi	f ˈ aː r a r p r ˌ ɔ t ɪ
fararsnið	f ˈ aː r a r s t n ˌ ɪ ð
fararstjóra	f ˈ aː r a r s t j ˌ ou r a
fararstjóri	f ˈ aː r a r s t j ˌ ou r ɪ
farartæki	f ˈ aː r a r tʰ ˌ ai c ɪ
farartækjaeftirlit	f ˈaː r a r̥ tʰ ai c a ɛ f t ɪ r l ɪ t
farartækjum	f ˈ aː r a r tʰ ˌ ai c ʏ m
farast	f ˈ aː r a s t
farbann	f ˈ aː r p a n
farbanni	f ˈ aː r p a n ɪ
farborða	f ˈ aː r p ɔ r ð a
farga	f ˈ a r k a
fargað	f ˈ a r k a ð
fargjöld	f ˈ aː r c œ l t
fari	f ˈ aː r ɪ
farin	f ˈ aː r ɪ n
farinn	f ˈ aː r ɪ n
farist	f ˈ aː r ɪ s t
farið	f ˈ aː r ɪ ð
farlama	f ˈ aː r l a m a
farm	f ˈ a r m
farmers	f ˈ aː r m ɛ r̥ s
farmi	f ˈ a r m ɪ
farmiða	f ˈ aː r m ɪ ð a
farms	f ˈ a r m s
farnar	f ˈ a r t n a r
farnast	f ˈ a r t n a s t
farnir	f ˈ a r t n ɪ r
farrými	f ˈ aː r r i m ɪ
farseðilinn	f ˈ aː r s ɛ ð ɪ l ɪ n
farsi	f ˈ a r̥ s ɪ
farsæl	f ˈ aː r s ai l
farsæla	f ˈ aː r s ai l a
farsælan	f ˈ aː r s ai l a n
farsæld	f ˈ aː r s ai l t
farsældar	f ˈ aː r s ai l t a r
farsæll	f ˈ aː r s ai t l̥
farsælla	f ˈ aː r s ai t l a
farsællega	f ˈ aː r s ai l l ˌ ɛ ɣ a
farsælli	f ˈ aː r s ai t l ɪ
farsælt	f ˈ aː r s ai l̥ t
farsælum	f ˈ aː r s ai l ʏ m
farsíma	f ˈ aː r s i m a
farsímanet	f ˈ aː r s i m a n ˌ ɛ t
farsímanum	f ˈ aː r s i m a n ʏ m
farsími	f ˈ aː r s i m ɪ
farsímum	f ˈ aː r s i m ʏ m
farsóttarheimilinu	f ˈaː r s ou h t a r h ˌei m ɪ l ɪ n ʏ
fartölvu	f ˈ aː r tʰ œ l v ʏ
fartölvukort	f ˈaː r tʰ œ l v ʏ kʰ ˌɔ r̥ t
fartölvum	f ˈ aː r tʰ œ l v ʏ m
farvatninu	f ˈ aː r v a h t n ɪ n ʏ
farveg	f ˈ aː r v ɛ ɣ
farvegi	f ˈ aː r v ei j ɪ
farvegur	f ˈ aː r v ɛ ɣ ʏ r
farísea	f ˈaː r i s ɛ a
faríseann	f ˈaː r i s ɛ a n
faríseans	f ˈaː r i s ɛ a n s
faríseanum	f ˈaː r i s ɛ a n ʏ m
farísear	f ˈaː r i s ɛ a r
farísearnir	f ˈaː r i s ɛ a r t n ɪ r
farísei	f ˈaː r i s ɛ ɪ
faríseinn	f ˈaː r i s ɛ ɪ n
faríseunum	f ˈaː r i s ɛ ɔ n ʏ m
farða	f ˈ a r ð a
farðu	f ˈ a r ð ʏ
farþega	f ˈ aː r θ ɛ ɣ a
farþegamegin	f ˈ aː r θ ɛ ɣ a m ˌ ei j ɪ n
farþeganna	f ˈ aː r θ ɛ ɣ a n a
farþegar	f ˈ aː r θ ɛ ɣ a r
farþegarnir	f ˈ a r̥ θ ɛ ɣ a r t n ɪ r
farþegasætinu	f ˈ aː r θ ɛ ɣ a s ˌ ai t ɪ n ʏ
farþegi	f ˈ aː r θ ei j ɪ
farþeginn	f ˈ aː r θ ei j ɪ n
farþegum	f ˈ aː r θ ɛ ɣ ʏ m
fas	f ˈ aː s
fasa	f ˈ aː s a
fashion	f ˈ a s j ɔ n
fasi	f ˈ aː s ɪ
fasismi	f ˈ aː s ɪ s m ɪ
fasmikill	f ˈaː s m ɪ c ɪ t l̥
fast	f ˈ a s t
fasta	f ˈ a s t a
fastafulltrúaráðsins	f ˈa s t a f ʏ l̥ tʰ r u a r au ð s ɪ n s
fastamaður	f ˈ a s t a m ˌ a ð ʏ r
fastan	f ˈ a s t a n
fastanefnd	f ˈ a s t a n ˌ ɛ m t
fastanúmer	f ˈa s t a n u m ˌɛ r
fastar	f ˈ a s t a r
fastari	f ˈ a s t a r ɪ
fastast	f ˈ a s t a s t
fastasvefni	f ˈ a s t a s v ˌ ɛ p n ɪ
fastefna	f ˈa s t ɛ p n a
fasteign	f ˈ a s t ei k n̥
fasteigna	f ˈ a s t ei k n a
fasteignafélag	f ˈ a s t ei k n a f j ˌ ɛ l a ɣ
fasteignafélagið	f ˈ a s t ei k n a f j ˌ ɛ l ai j ɪ ð
fasteignagjalda	f ˈ a s t ei k n a c ˌ a l t a
fasteignagjöld	f ˈ a s t ei k n a c ˌ œ l t
fasteignakaup	f ˈ a s t ei k n a kʰ ˌ œy p
fasteignalán	f ˈ a s t ei k n a l ˌ au n
fasteignamarkaði	f ˈ a s t ei k n a m ˌ a r̥ k a ð ɪ
fasteignamarkaðinum	f ˈ a s t ei k n a m ˌ a r̥ k a ð ɪ n ʏ m
fasteignamat	f ˈ a s t ei k n a m ˌ a t
fasteignamati	f ˈ a s t ei k n a m ˌ a t ɪ
fasteignamats	f ˈ a s t ei k n a m ˌ a t s
fasteignar	f ˈ a s t ei k n a r
fasteignarinnar	f ˈ a s t ei k n a r ɪ n a r
fasteignasala	f ˈ a s t ei k n a s ˌ a l a
fasteignasali	f ˈ a s t ei k n a s a l ɪ
fasteignasölu	f ˈ a s t ei k n a s ˌ œ l ʏ
fasteignasölunni	f ˈ a s t ei k n a s ˌ œ l ʏ n ɪ
fasteignaverð	f ˈ a s t ei k n a v ˌ ɛ r ð
fasteignaverðs	f ˈ a s t ei k n a v ˌ ɛ r ð s
fasteignin	f ˈ a s t ei k n ɪ n
fasteignina	f ˈ a s t ei k n ɪ n a
fasteigninni	f ˈ a s t ei k n ɪ n ɪ
fasteignir	f ˈ a s t ei k n ɪ r
fasteignum	f ˈ aː s tʰ ei k n ʏ m
fastir	f ˈ a s t ɪ r
fastlega	f ˈ a s t l ɛ ɣ a
fastmælum	f ˈ a s t m ai l ʏ m
fastra	f ˈ a s t r a
fastri	f ˈ a s t r ɪ
fastur	f ˈ a s t ʏ r
fat	f ˈ a t
fata	f ˈ aː t a
fatah	f ˈ aː t a
fatahengi	f ˈ aː t a h ˌ ei ɲ c ɪ
fataherbergi	f ˈ aː t a h ɛ r p ˌ ɛ r c ɪ
fatahönnun	f ˈ aː t a h ˌ œ n ʏ n
fatahönnuður	f ˈ aː t a h ˌ œ n ʏ ð ʏ r
fatakynningu	f ˈaː t a cʰ ˌɪ n i ŋ k ʏ
fataskipti	f ˈ aː t a s c ˌ ɪ f t ɪ
fataskápnum	f ˈ aː t a s k ˌ au h p n ʏ m
fate	f ˈ eiː t
father	f ˈ a t h ɛ r
fathers	f ˈ a t h ɛ r̥ s
fatlana	f ˈa h t l a n a
fatlað	f ˈ a h t l a ð
fatlaða	f ˈ a h t l a ð a
fatlaðir	f ˈ a h t l a ð ɪ r
fatlaðra	f ˈ a h t l a ð r a
fatlaðs	f ˈ a h t l a ð s
fatlaður	f ˈ a h t l a ð ʏ r
fatnað	f ˈ a h t n a ð
fatnaði	f ˈ a h t n a ð ɪ
fatnaður	f ˈ a h t n a ð ʏ r
fatta	f ˈ a h t a
fattaði	f ˈ a t tʰ a ð ɪ
fauk	f ˈ œyː k
fault	f ˈ ɔ l̥ t
favourite	f ˈ eiː v ɔ r ɪ t
fax	f ˈ a k s
faxafeni	f ˈ a k s a f ˌ ɛ n ɪ
faxaflóa	f ˈ a k s a f l ˌ ou a
faxaflóahafna	f ˈ a k s a f l ou a h ˌ a p n a
faxaflóahafnir	f ˈ a k s a f l ou a h ˌ a p n ɪ r
faxaflói	f ˈ a k s a f l ou ɪ
faxi	f ˈ a k s ɪ
faye	f ˈ ai j ɛ
faðir	f ˈ aː ð ɪ r
faðirinn	f ˈ aː ð ɪ r ɪ n
faðirvorið	f ˈ aː ð ɪ r v ˌ ɔ r ɪ ð
faðm	f ˈ a ð m
faðma	f ˈ a ð m a
faðmi	f ˈ a ð m ɪ
faðminn	f ˈ a ð m ɪ n
faðmlag	f ˈ a ð m l a ɣ
faðmlagi	f ˈ a ð m l ai j ɪ
faðmlagið	f ˈ a ð m l ai j ɪ ð
faðmlögin	f ˈ a ð m l œy j ɪ n
faðmur	f ˈ a ð m ʏ r
fba	ˈɛ f p j ɛ a
fbi	ˈɛ f p i ai
fe	f ˈ ɛː
fear	f ˈ iː r
feat	f ˈ iː t
feature	f ˈ iː t j ʏ r
features	f ˈ iː t j ʏ r s
featuring	f ˈ iː t j ʏ r i ŋ
feb	f ˈɛː p
febr	f ˈ ɛː p r u a r
february	f ˈ ɛ p r u a r i
febrúar	f ˈ ɛː p r u a r
febrúarmánuði	f ˈ ɛː p r u a r m ˌ au n ʏ ð ɪ
federer	f ˈ ɛː t ɛ r ɛ r
fee	f ˈ iː
feed	f ˈ iː t
feedback	f ˈ iː t p a h k
feel	f ˈ iː l
feeling	f ˈ iː l i ŋ
feels	f ˈ iː l s
feet	f ˈ iː t
fegin	f ˈ ei j ɪ n
feginleik	f ˈei j ɪ n l ˌei k
feginn	f ˈ ei j ɪ n
fegins	f ˈ ei j ɪ n s
feginsamlega	f ˈei j ɪ n s a m l ɛ ɣ a
fegnir	f ˈ ei k n ɪ r
fegra	f ˈ ɛ ɣ r a
fegri	f ˈ ɛ ɣ r ɪ
fegurra	f ˈ ɛː ɣ ʏ r a
fegurri	f ˈ ɛː ɣ ʏ r ɪ
fegurst	f ˈ ɛː ɣ ʏ r̥ s t
fegursta	f ˈ ɛː ɣ ʏ r̥ s t a
fegurstu	f ˈ ɛː ɣ ʏ r̥ s t ʏ
fegurð	f ˈ ɛː ɣ ʏ r ð
fegurðarsamkeppni	f ˈ ɛː ɣ ʏ r ð a r s ˌ a m cʰ ɛ h p n ɪ
fegurðarskyn	f ˈ ɛː ɣ ʏ r ð a r s c ˌ ɪ n
fegurðin	f ˈ ɛː ɣ ʏ r ð ɪ n
feigðarósi	f ˈ ei ɣ ð a r ou s ɪ
feikilega	f ˈ eiː c ɪ l ˌ ɛ ɣ a
feikna	f ˈ ei h k n a
feimin	f ˈ eiː m ɪ n
feiminn	f ˈ eiː m ɪ n
feimnar	f ˈ ei m n a r
feimnismál	f ˈ ei m n ɪ s m au l
feit	f ˈ eiː t
feitabolla	f ˈeiː t a p ɔ l a
feitabollu	f ˈeiː t a p ɔ l ʏ
feitabollum	f ˈeiː t a p ɔ l ʏ m
feitabollur	f ˈeiː t a p ɔ l ʏ r
feiti	f ˈ eiː t ɪ
feitir	f ˈ eiː t ɪ r
feitlagin	f ˈeiː t l ai j ɪ n
feitlaginn	f ˈ eiː t l ai j ɪ n
feitletraður	f ˈeiː t l ɛ t r a ð ʏ r
feitt	f ˈ ei h t
feitum	f ˈ eiː t ʏ m
feitur	f ˈ eiː t ʏ r
fel	f ˈ ɛː l
fela	f ˈ ɛː l a
felast	f ˈ ɛː l a s t
feldspat	f ˈɛ l t s p a t
feldur	f ˈ ɛ l t ʏ r
felga	f ˈɛ l k a
felgurnar	f ˈ ɛ l k ʏ r t n a r
feli	f ˈ ɛː l ɪ
felipe	f ˈ ɛː l i pʰ ɛ
felist	f ˈ ɛː l ɪ s t
felix	f ˈ ɛː l ɪ k s
felixson	f ˈ ɛː l ɪ k s s ˌ ɔ n
fell	f ˈ ɛ t l̥
fella	f ˈ ɛ t l a
felld	f ˈ ɛ l t
felldar	f ˈ ɛ l t a r
felldi	f ˈ ɛ l t ɪ
felldir	f ˈ ɛ l t ɪ r
felldu	f ˈ ɛ l t ʏ
felldur	f ˈ ɛ l t ʏ r
felli	f ˈ ɛ t l ɪ
fellibylsins	f ˈ ɛ t l ɪ p ˌ ɪ l s ɪ n s
fellibylur	f ˈ ɛ t l ɪ p ˌ ɪ l ʏ r
fellibylurinn	f ˈ ɛ t l ɪ p ˌ ɪ l ʏ r ɪ n
fellinu	f ˈ ɛ t l ɪ n ʏ
fellir	f ˈ ɛ t l ɪ r
fellow	f ˈ ɛ l ou
fellsbrotið	f ˈɛ l s p r ɔ t ɪ ð
fellsmúla	f ˈ ɛ l s m u l a
fellst	f ˈ ɛ l s t
fellt	f ˈ ɛ l̥ t
fellur	f ˈ ɛ t l ʏ r
felmtruð	f ˈɛ l m̥ t r ʏ ð
felst	f ˈ ɛ l s t
felt	f ˈ ɛ l̥ t
feluleikur	f ˈ ɛː l ʏ l ˌ ei k ʏ r
felum	f ˈ ɛː l ʏ m
felur	f ˈ ɛː l ʏ r
female	f ˈ iː m ei l
fen	f ˈ ɛː n
feneyjum	f ˈ ɛː n ei j ʏ m
feng	f ˈ ei ŋ k
fengi	f ˈ ei ɲ c ɪ
fengin	f ˈ ei ɲ c ɪ n
fenginn	f ˈ ei ɲ c ɪ n
fenginni	f ˈ ei ɲ c ɪ n ɪ
fengist	f ˈ ei ɲ c ɪ s t
fengið	f ˈ ei ɲ c ɪ ð
fengju	f ˈ ei ɲ c ʏ
fengjum	f ˈ ei ɲ c ʏ m
fengjust	f ˈ ei ɲ c ʏ s t
fengjuð	f ˈ ei ɲ c ʏ ð
fengnar	f ˈ ei ŋ n a r
fengnir	f ˈ ei ŋ n ɪ r
fengnum	f ˈ ei ŋ n ʏ m
fengu	f ˈ ei ŋ k ʏ
fengum	f ˈ ei ŋ k ʏ m
fengur	f ˈ ei ŋ k ʏ r
fengust	f ˈ ei ŋ k ʏ s t
fenguð	f ˈ ɛː n k v ʏ ð
fer	f ˈ ɛː r
ferdinand	f ˈ ɛ r t ɪ n a n t
ferflötungar	f ˈɛ r̥ f l œ t u ŋ k a r
ferfætlingur	f ˈɛ r̥ f ai h t l i ŋ k ʏ r
ferguson	f ˈ ɛ r k ʏ s ɔ n
ferhyrnd	f ˈ ɛː r h œ r n t
ferhyrndur	f ˈ ɛː r h ɪ r n t ʏ r
ferhyrningur	f ˈ ɛː r̥ h ɪ r t n i ŋ k ʏ r
ferhyrnt	f ˈɛː r h œ r̥ n̥ t
feril	f ˈ ɛː r ɪ l
ferilinn	f ˈ ɛː r ɪ l ɪ n
ferill	f ˈ ɛː r ɪ t l̥
ferils	f ˈ ɛː r ɪ l s
ferilsins	f ˈ ɛː r ɪ l s ɪ n s
ferilskrá	f ˈ ɛː r ɪ l s k r ˌ au
ferja	f ˈ ɛ r j a
ferjan	f ˈ ɛ r j a n
ferju	f ˈ ɛ r j ʏ
ferjuna	f ˈ ɛ r j ʏ n a
ferjunnar	f ˈ ɛ r j ʏ n a r
ferjunni	f ˈ ɛ r j ʏ n ɪ
ferjutengingin	f ˈɛ r j ʏ tʰ ˌei ɲ c i ɲ c ɪ n
ferkílómetra	f ˈ ɛː r cʰ i l ou m ˌ ɛ t r a
ferkílómetrar	f ˈ ɛː r cʰ i l ou m ˌ ɛ t r a r
ferla	f ˈ ɛ r t l a
ferlegt	f ˈ ɛ r l ɛ x t
ferli	f ˈ ɛ r t l ɪ
ferlinu	f ˈ ɛ r t l ɪ n ʏ
ferlinum	f ˈ ɛ r t l ɪ n ʏ m
ferlið	f ˈ ɛ r t l ɪ ð
ferlum	f ˈ ɛ r t l ʏ m
ferm	f ˈ ɛ r m
ferma	f ˈ ɛ r m a
fermdur	f ˈ ɛ r m t ʏ r
fermetra	f ˈ ɛː r m ɛ t r a
fermetrar	f ˈ ɛː r m ɛ t r a r
fermetri	f ˈ ɛː r m ɛ t r ɪ
fermetrum	f ˈ ɛː r m ɛ t r ʏ m
ferming	f ˈ ɛ r m i ŋ k
fermingarbörn	f ˈ ɛ r m i ŋ k a r p ˌ œ r t n̥
fermingarkjólar	f ˈɛ r m i ŋ k a r cʰ ˌou l a r
fermingarmessa	f ˈ ɛ r m i ŋ k a r m ˌ ɛ s a
fermingarpeningunum	f ˈɛ r m i ŋ k a r pʰ ˌɛ n i ŋ k ɔ n ʏ m
fermingu	f ˈ ɛ r m i ŋ k ʏ
fernando	f ˈ ɛ r n a n t ɔ
ferningur	f ˈ ɛ r t n i ŋ k ʏ r
fernt	f ˈ ɛ r̥ n̥ t
fernu	f ˈ ɛ r t n ʏ
ferrari	f ˈ ɛ r a r i
ferrarí	f ˈɛ r a r i
fersk	f ˈ ɛ r̥ s k
ferska	f ˈ ɛ r̥ s k a
ferskan	f ˈ ɛ r̥ s k a n
ferskar	f ˈ ɛ r̥ s k a r
ferskir	f ˈ ɛ r̥ s c ɪ r
ferskjur	f ˈ ɛ r̥ s c ʏ r
ferskjurnar	f ˈ ɛ r̥ s c ʏ r t n a r
ferskleika	f ˈ ɛ r̥ s k l ei k a
fersksíldar	f ˈɛ r̥ s k s i l t a r
ferskt	f ˈ ɛ r̥ s t
fersku	f ˈ ɛ r̥ s k ʏ
ferskum	f ˈ ɛ r̥ s k ʏ m
ferskur	f ˈ ɛ r̥ s k ʏ r
ferst	f ˈ ɛ r̥ s t
fertugasta	f ˈ ɛ r̥ t ʏ ɣ a s t a
fertugasti	f ˈ ɛ r̥ t ʏ ɣ a s t ɪ
fertugsaldri	f ˈ ɛ r̥ t ʏ x s ˌ a l t r ɪ
fertugt	f ˈ ɛ r̥ t ʏ x t
fertugur	f ˈ ɛː r tʰ ʏ ɣ ʏ r
ferð	f ˈ ɛ r ð
ferða	f ˈ ɛ r ð a
ferðafélaga	f ˈ ɛ r ð a f j ˌ ɛ l a ɣ a
ferðafélagi	f ˈ ɛ r ð a f j ˌ ɛ l ai j ɪ
ferðafélags	f ˈ ɛ r ð a f j ˌ ɛ l a x s
ferðafólk	f ˈ ɛ r ð a f ˌ ou l̥ k
ferðafólki	f ˈ ɛ r ð a f ˌ ou l̥ c ɪ
ferðagrill	f ˈɛ r ð a k r ˌɪ l
ferðagrillum	f ˈɛ r ð a k r ˌɪ l ʏ m
ferðakostnað	f ˈ ɛ r ð a kʰ ˌ ɔ s t n a ð
ferðakostnaður	f ˈ ɛ r ð a kʰ ˌ ɔ s t n a ð ʏ r
ferðalag	f ˈ ɛ r ð a l ˌ a ɣ
ferðalaga	f ˈ ɛ r ð a l ˌ a ɣ a
ferðalagi	f ˈ ɛ r ð a l ˌ ai j ɪ
ferðalaginu	f ˈ ɛ r ð a l ˌ ai j ɪ n ʏ
ferðalagið	f ˈ ɛ r ð a l ˌ ai j ɪ ð
ferðalang	f ˈ ɛ r ð a l ˌ au ŋ k
ferðalanga	f ˈ ɛ r ð a l ˌ au ŋ k a
ferðalangar	f ˈ ɛ r ð a l ˌ au ŋ k a r
ferðalangarnir	f ˈ ɛ r ð a l ˌ au ŋ k a r t n ɪ r
ferðalög	f ˈ ɛ r ð a l ˌ œ ɣ
ferðalögin	f ˈ ɛ r ð a l ˌ œy j ɪ n
ferðalögum	f ˈ ɛ r ð a l ˌ œ ɣ ʏ m
ferðalöngum	f ˈ ɛ r ð a l ˌ œy ŋ k ʏ m
ferðamanna	f ˈ ɛ r ð a m ˌ a n a
ferðamannastaða	f ˈ ɛ r ð a m a n a s t ˌ a ð a
ferðamannastaður	f ˈ ɛ r ð a m a n a s t ˌ a ð ʏ r
ferðamannastöðum	f ˈ ɛ r ð a m a n a s t ˌ œ ð ʏ m
ferðamaður	f ˈ ɛ r ð a m ˌ a ð ʏ r
ferðamenn	f ˈ ɛ r ð a m ˌ ɛ n
ferðamennirnir	f ˈ ɛ r ð a m ˌ ɛ n ɪ r t n ɪ r
ferðamennska	f ˈ ɛ r ð a m ˌ ɛ n s k a
ferðamennsku	f ˈ ɛ r ð a m ˌ ɛ n s k ʏ
ferðamál	f ˈ ɛ r ð a m ˌ au l
ferðamála	f ˈ ɛ r ð a m ˌ au l a
ferðamálafulltrúi	f ˈ ɛ r ð a m au l a f ˌ ʏ t l̥ tʰ r u ɪ
ferðamálaráð	f ˈ ɛ r ð a m au l a r ˌ au ð
ferðamálaráðs	f ˈ ɛ r ð a m au l a r ˌ au ð s
ferðamálastofu	f ˈ ɛ r ð a m au l a s t ˌ ɔ v ʏ
ferðamönnum	f ˈ ɛ r ð a m ˌ œ n ʏ m
ferðar	f ˈ ɛ r ð a r
ferðarinnar	f ˈ ɛ r ð a r ɪ n a r
ferðaskrifstofa	f ˈ ɛ r ð a s k r ɪ v s t ɔ v a
ferðaskrifstofan	f ˈ ɛ r ð a s k r ɪ v s t ɔ v a n
ferðaskrifstofu	f ˈ ɛ r ð a s k r ɪ v s t ɔ v ʏ
ferðaskrifstofunnar	f ˈ ɛ r ð a s k r ɪ v s t ɔ v ʏ n a r
ferðaskrifstofunni	f ˈ ɛ r ð a s k r ɪ v s t ɔ v ʏ n ɪ
ferðaskrifstofur	f ˈ ɛ r ð a s k r ɪ v s t ɔ v ʏ r
ferðast	f ˈ ɛ r ð a s t
ferðatösku	f ˈ ɛ r ð a tʰ ˌ œ s k ʏ
ferðaveður	f ˈ ɛ r ð a v ˌ ɛ ð ʏ r
ferðaáætlun	f ˈ ɛ r ð a ˌ au ai h t l ʏ n
ferðaðist	f ˈ ɛ r ð a ð ɪ s t
ferðaþjónusta	f ˈ ɛ r ð a θ j ˌ ou n ʏ s t a
ferðaþjónustan	f ˈ ɛ r ð a θ j ˌ ou n ʏ s t a n
ferðaþjónustu	f ˈ ɛ r ð a θ j ˌ ou n ʏ s t ʏ
ferðaþjónustufyrirtæki	f ˈ ɛ r ð a θ j ou n ʏ s t ʏ f ˌ ɪ r ɪ r̥ tʰ ai c ɪ
ferðaþjónustuna	f ˈ ɛ r ð a θ j ˌ ou n ʏ s t ʏ n a
