aaron	a: r O n
grjóthnullungum	k r j ou t n_0 Y t l u N k Y m
group	k r u h p
grugg	k r Y k
gruggugt	k r Y k Y x t
gruna	k r Y: n a
grunaði	k r Y: n a D I
grunaðir	k r Y: n a D I r
grunaður	k r Y: n a D Y r
grund	k r Y n t
grundarfirði	k r Y n t a r f I r D I
grundartanga	k r Y n t a r_0 t_h au N k a
grundvallaratriði	k r Y n t v a t l a r a t r I D I
grundvallaratriðum	k r Y n t v a t l a r a t r I D Y m
grundvallareining	k r Y n t v a t l a r ei n i N k
grundvallarreglur	k r Y n t v a t l a r E k l Y r
grundvallarsamþykkt	k r Y n t v a t l a r_0 s a m T I x t
grundvelli	k r Y n t v E t l I
grundvöll	k r Y n t v 9 t l_0
grunn	k r Y n
grunnfleti	k r Y n f l E t I
grunngildi	k r Y J c I l t I
grunnhreinsun	k r Y n r_0 ei n s Y n
grunnkerfa	k r Y n c_h E r v a
grunnmenntun	k r Y n m E n_0 t Y n
grunnrannsóknir	k r Y n r a n s ou h k n I r
grunnskertur	k r Y n s c E r_0 t Y r
grunnskólaaldri	k r Y n s k ou l a a l t r I
grunnskólabarna	k r Y n s k ou l a p a r t n a
grunnskólakennara	k r Y n s k ou l a c_h E n a r a
grunnskólanefndar	k r Y n s k ou l a n E m t a r
grunnskólans	k r Y n s k ou l a n s
grunnskóli	k r Y n s k ou l I
grunnskólum	k r Y n s k ou l Y m
grunnt	k r Y n_0 t
grunnur	k r Y n Y r
grunnurinn	k r Y n Y r I n
grunnverð	k r Y n v E r D
gruns	k r Y n s
grunsamlegt	k r Y n s a m l E x t
grá	k r au:
grágæs	k r au: c ai s
gráleitt	k r au: l ei h t
grána	k r au: n a
grár	k r au: r
grárri	k r au r I
grásleppunet	k r au s t l E h p Y n E t
grásvepp	k r au: s v E h p
gráta	k r au: t a
grátklökkri	k r au t k l 9 h k r I
grátlega	k r au t l E G a
grátt	k r au h t
gráða	k r au: D a
græddi	k r ai t I
græddu	k r ai t Y
græja	k r ai: j a
græn	k r ai: n
grængylltan	k r ai n c I l_0 t a n
grænir	k r ai: n I r
grænklæddu	k r ai n k_h l ai t Y
grænkuðu	k r ai N_0 k Y D Y
grænland	k r ai n l a n t
grænlandi	k r ai n l a n t I
grænlands	k r ai n l a n t s
grænlandsdeildar	k r ai n l a n t s t ei l t a r
grænleitt	k r ai n l ei h t
grænlendinga	k r ai n l E n t i N k a
grænmeti	k r ai n m E t I
grænmetisæta	k r ai n m E t I s ai t a
grænmetisætur	k r ai n m E t I s ai t Y r
grænn	k r ai t n_0
grænna	k r ai t n a
græns	k r ai n s
grænt	k r ai n_0 t
grænu	k r ai: n Y
grænum	k r ai: n Y m
græða	k r ai: D a
græðgi	k r ai D c I
gréta	k r j E: t a
grétarsson	k r j E: t a r_0 s O n
grétarssonar	k r j E: t a r_0 s O n a r
grétarssyni	k r j E: t a r_0 s I n I
gríma	k r i: m a
grímsnesi	k r i m s t n E s I
grímsstaðavör	k r i m s t a D a v 9 r
grímur	k r i: m Y r
grín	k r i: n
gríngáfu	k r i n k au v Y
grínkaflinn	k r i: n k_h a p l I n
grípa	k r i: p a
grípur	k r i: p Y r
gríska	k r i s k a
gríðarleg	k r i: D a r l E G
gríðarlega	k r i: D a r l E G a
gríðarlegan	k r i: D a r l E G a n
gríðarlegt	k r i: D a r l E x t
gríðarlegu	k r i: D a r l E G Y
gríðarlegur	k r i: D a r l E G Y r
gríðarsterkt	k r i: D a r_0 s t E r_0 t
gríðarstórt	k r i: D a r_0 s t ou r_0 t
gríðarstóru	k r i: D a r_0 s t ou r Y
gró	k r ou:
gróa	k r ou: a
gróf	k r ou: f
grófar	k r ou: v a r
grófarhús	k r ou: v a r h u s
grófarhúss	k r ou: v a r_0 h u s
gróffóðursins	k r ou f ou D Y r_0 s I n s
grófkristölluð	k r ou f k_h r I s t 9 t l Y D
grófofið	k r ou: v O v I D
gróft	k r ou f t
grófum	k r ou: v Y m
grófur	k r ou: v Y r
gróttu	k r ou h t Y
gróttuvelli	k r ou h t Y v E t l I
gróði	k r ou: D I
gróður	k r ou: D Y r
gróðurhús	k r ou: D Y r h u s
gróðurhúsalofttegunda	k r ou: D Y r_0 h u s a l O f t E G Y n t a
gróðurinn	k r ou: D Y r I n
gróðursetja	k r ou: D Y r_0 s E t j a
gróðursetning	k r ou: D Y r s E h t n i N k
gróðursetningu	k r ou: D Y r_0 s E h t n i N k Y
gröf	k r 9: f
grömmum	k r 9 m Y m
grön	k r 9: n
gröndal	k r 9 n t a l
grúppukeppninni	k r u h p Y c_h E h p n I n I
grúppum	k r u h p Y m
grúppuna	k r u h p Y n a
grútskítugt	k r u t s c i t Y x t
grýla	k r i: l a
grýta	k r i: t a
grýtta	k r i h t a
gubbað	k Y p a D
gubbaði	k Y p a D I
gufa	k Y: v a
gufu	k Y: v Y
gufutogara	k Y: v Y t_h O G a r a
gugga	k Y k a
guggin	k Y c I n
guggnað	k Y k n a D
guggu	k Y k Y
gul	k Y: l
gula	k Y: l a
gulgrænn	k Y l k r ai t n_0
gull	k Y t l_0
gullberg	k Y t l_0 p E r k
gullbrúðkaup	k Y t l_0 p r u D k_h 9i p
gulleit	k Y l ei t
gulleitt	k Y l ei h t
gullfoss	k Y t l_0 f O s
gullgrafaranna	k Y t l_0 k r a v a r a n a
gullgrafararnir	k Y t l_0 k r a v a r a r t n I r
gullhring	k Y t l r_0 i N k
gullhömrum	k Y t l_0 h 9 m r Y m
gulli	k Y l I
gullin	k Y t l I n
gullinn	k Y t l I n
gullkarfi	k Y t l_0 k_h a r v I
gullkorn	k Y t l k_h O r t n_0
gulllóa	k Y t l l ou a
gullnu	k Y t l n Y
gulls	k Y l s
gullsins	k Y t l_0 s I n s
gullsmára	k Y t l_0 s m au r a
gullsmárabrids	k Y t l_0 s m au r a p r I t s
gullstrandarinnar	k Y t l_0 s t r a n t a r I n a r
gullu	k Y l Y
gullverðlaun	k Y t l v E r D l 9i n
gullverðlauna	k Y t l v E r D l 9i n a
gullæðanna	k Y t l ai D a n a
gullæðinu	k Y t l ai D I n Y
gullæðið	k Y t l ai D I D
gult	k Y l_0 t
gulur	k Y: l Y r
gulvíðir	k Y l v i D I r
gum	k Y: m
gumma	k Y m a
gummi	k Y m I
gunnar	k Y n a r
gunnari	k Y n a r I
gunnars	k Y n a r_0 s
gunnarsdóttir	k Y n a r_0 s t ou h t I r
gunnarsdóttur	k Y n a r_0 s t ou h t Y r
gunnarsholti	k Y n a r_0 s h O l_0 t I
gunnarsson	k Y n a r_0 s O n
gunnarssonar	k Y n a r_0 s O n a r
gunnarssyni	k Y n a r_0 s I n I
gunnhildar	k Y n h I l t a r
gunnlaugi	k Y n l 9i j I
gunnlaugs	k Y n l 9i x s
gunnlaugsdóttir	k Y n l 9i x s t ou h t I r
gunnlaugssonar	k Y n l 9i x s O n a r
gunnlaugssögu	k Y n l 9i x s 9 G Y
gunnlaugur	k Y n l 9i G Y r
gunnleifsson	k Y n l ei f s O n
gunnsteinn	k Y n s t ei t n_0
gunnsteinsdóttir	k Y n s t ei n s t ou h t I r
gunnþórunn	k Y n T ou r Y n
gustur	k Y s t Y r
gutlandi	k Y h t l a n t I
gutlaði	k Y h t l a D I
guttarnir	k Y h t a r t n I r
guð	k v Y: D
guðbergsson	k v Y D p E r k s O n
guðbjartsson	k v Y D p j a r_0 t s O n
guðbjartur	k v Y D p j a r_0 t Y r
guðbjörg	k v Y D p j 9 r k
guðbjörnsdóttir	k v Y D p j 9 r_0 s t ou h t I r
guðbjörnsson	k v Y D p j 9 r_0 s O n
guðbrandsdóttir	k v Y D p r a n t s t ou h t I r
guðbrandsson	k v Y D p r a n t s O n
guðbrandssonar	k v Y D p r a n t s O n a r
guðbrandur	k v Y D p r a n t Y r
guðdómlega	k v Y D t ou m l E G a
guðdómlegu	k v Y D t ou m l E G Y
guðfinnsson	k v Y D f I n s O n
guðfræði	k v Y D f r ai D I
guðhrædda	k v Y D r_0 ai t a
guðirnir	k v Y: D I r t n I r
guðjohnsen	k v Y D j O n s E n
guðjón	k v Y D j ou n
guðjóni	k v Y D j ou n I
guðjóns	k v Y D j ou n s
guðjónsdóttir	k v Y D j ou n s t ou h t I r
guðjónsson	k v Y D j ou n s O n
guðlast	k v Y D l a s t
guðlaug	k v Y D l 9i G
guðlaugsson	k v Y D l 9i x s O n
guðlaugur	k v Y D l 9i G Y r
guðlegri	k v Y D l E G r I
guðleysi	k v Y D l ei s I
guðleysingi	k v Y D l ei s i J c I
guðleysingjar	k v Y D l ei s i J c a r
guðmarsson	k v Y D m a r_0 s O n
guðmundi	k v Y D m Y n t I
guðmundsdóttir	k v Y D m Y n t s t ou h t I r
guðmundsdóttur	k v Y D m Y n t s t ou h t Y r
guðmundsson	k v Y D m Y n t s O n
guðmundssonar	k v Y D m Y n t s O n a r
guðmundssyni	k v Y D m Y n t s I n I
guðmundur	k v Y D m Y n t Y r
guðna	k v Y D n a
guðnadóttir	k v Y D n a t ou h t I r
guðni	k v Y D n I
guðríður	k v Y D r i D Y r
guðrún	k v Y D r u n
guðrúnar	k v Y D r u n a r
guðs	k v Y D s
guðspjall	k v Y D s p j a t l_0
guðspjöllin	k v Y D s p j 9 t l I n
guðsþjónusta	k v Y D s T j ou n Y s t a
gylfa	c I l v a
gylfadóttir	c I l v a t ou h t I r
gylfason	c I l v a s O n
gylfi	c I l v I
gyllt	c I l_0 t
gylltir	c I l_0 t I r
gylltri	c I l_0 t r I
gylltum	c I l_0 t Y m
gyða	c I: D a
gyðinga	c I: D i N k a
gyðingarnir	c I: D i N k a r t n I r
gyðingasamtakanna	c I: D i N k a s a m t_h a k a n a
gá	k au:
gáfaða	k au: v a D a
gáfaður	k au: v a D Y r
gáfnafari	k au p n a f a r I
gáfum	k au: v Y m
gáfurnar	k au: v Y r t n a r
gáfust	k au: v Y s t
gáfuð	k au: v Y D
gáleysi	k au: l ei s I
gálginn	k au l c I n
gállinn	k au t l I n
gára	k au: r a
gáska	k au s k a
gáski	k au s c I
gáta	k au: t a
gátt	k au h t
gátu	k au: t Y
gátum	k au: t Y m
gæddi	c ai t I
gæddu	c ai t Y
gæddum	c ai t Y m
gæfa	c ai: v a
gæfi	c ai: v I
gæfu	c ai: v Y
gæfumaður	c ai: v Y m a D Y r
gæfunnar	c ai: v Y n a r
gæfuspor	c ai: v Y s p O r
gægðist	c ai G D I s t
gægðust	c ai G D Y s t
gæi	c ai: I
gæla	c ai: l a
gæludýr	c ai: l Y t i r
gær	c ai: r
gærdag	c ai r t a G
gærdagsins	c ai r_0 t a x s I n s
gærkvöld	c ai r_0 k_h v 9 l t
gærkvöldi	c ai r_0 k_h v 9 l t I
gæs	c ai: s
gæsahúð	c ai: s a h u D
gæslumaðurinn	c ai s t l Y m a D Y r I n
gæsluvarðhald	c ai s t l Y v a r T h a l t
gæsluvarðhaldi	c ai s t l Y v a r T h a l t I
gæta	c ai: t a
gæti	c ai: t I
gætt	c ai h t
gætti	c ai h t I
gættinni	c ai h t I n I
gætu	c ai: t Y
gætum	c ai: t Y m
gæða	c ai: D a
gæðaflokki	c ai: D a f l O h c I
gæði	c ai: D I
gífurleg	c i: v Y r l E G
gífurlegar	c i: v Y r l E G a r
gífurlegt	c i: v Y r l E x t
gígja	c i j a
gígju	c i j Y
gír	c i: r
gírstönginni	c i r_0 s t 9i J c I n I
gísla	c i s t l a
gísladóttir	c i s t l a t ou h t I r
gísladóttur	c i s t l a t ou h t Y r
gíslason	c i s t l a s O n
gíslasyni	c i s t l a s I n I
gísli	c i s t l I
gíslingu	c i s t l i N k Y
gíslína	c i s t l i n a
gítar	c i: t a r
gítarleikara	c i: t a r l ei k a r a
góa	k ou: a
gólf	k ou l f
gólfefni	k ou l v E p n I
gólffjalirnar	k ou l f j a l I r t n a r
gólffjölunum	k ou l f j 9 l Y n Y m
gólfi	k ou l f I
gólfinu	k ou l v I n Y
gólfið	k ou l v I D
góma	k ou: m a
gómsætur	k ou m s ai t Y r
góndum	k ou n t Y m
góss	k ou s
góð	k ou: D
góða	k ou: D a
góðan	k ou: D a n
góðar	k ou: D a r
góðgerðarstarfsemi	k ou D c E r D a r_0 s t a r f s E m I
góði	k ou: D I
góðir	k ou: D I r
góðra	k ou D r a
góðrar	k ou D r a r
góðri	k ou D r I
góðu	k ou: D Y
góðum	k ou: D Y m
góður	k ou: D Y r
góðviðrisdögum	k ou D v I D r I s t 9 G Y m
góðæri	k ou: D ai r I
göfuga	k 9: v Y G a
göfugt	k 9: v Y x t
gögguðu	k 9 k Y D Y
gögn	k 9 k n_0
gögnin	k 9 k n I n
gögnum	k 9 k n Y m
gömlu	k 9 m l Y
gömlum	k 9 m l Y m
gömul	k 9: m Y l
göng	k 9i N k
göngu	k 9i N k Y
göngubrú	k 9i N k Y p r u
göngudeild	k 9i N k Y t ei l t
gönguferð	k 9i N k Y f E r D
gönguferðir	k 9i N k Y f E r D I r
gönguferðum	k 9i N k Y f E r D Y m
göngugötuna	k 9i N k Y k 9 t Y n a
göngugötunni	k 9i N k Y k 9 t Y n I
gönguhópur	k 9i N k Y h ou p Y r
göngulagi	k 9i N k Y l ai j I
göngulaginu	k 9i N k Y l ai j I n Y
göngulagið	k 9i N k Y l ai j I D
gönguleið	k 9i N k Y l ei D
gönguleiðir	k 9i N k Y l ei D I r
gönguleiðum	k 9i N k Y l ei D Y m
göngum	k 9i N k Y m
göngunum	k 9i N k O n Y m
göngur	k 9i N k Y r
göngustíg	k 9i N k Y s t i G
göngustígum	k 9i N k Y s t i G Y m
göngutúr	k 9i N k Y t_h u r
götuhornum	k 9: t Y h O r t n Y m
götum	k 9: t Y m
götuna	k 9: t Y n a
götunni	k 9: t Y n I
gúllivers	k u l I v E r_0 s
gúlpaði	k u l_0 p a D I
gúmmíbátinn	k u m i p au t I n
gúmmíflibbanum	k u m i f l I p a n Y m
gúmmífætt	k u m i f ai h t
gúmmíhandföngin	k u m i h a n t f 9i J c I n
gúmmíhanska	k u m i h a n s k a
gúmmíi	k u m i I
gúmmíræmurnar	k u m i r ai m Y r t n a r
gúmmískó	k u m i s k ou
gúmmískór	k u m i s k ou r
gúmmíslöngum	k u m i s t l 9i N k Y m
gúmmístígvélum	k u m i s t i G v j E l Y m
gúmmístígvélunum	k u m i s t i G v j E l O n Y m
gúmmítrjáa	k u m i t_h r j au a
gúmmítrjánna	k u m i t_h r j au n a
gúmmítré	k u m i t_h r j E
gúrkunum	k u r_0 k O n Y m
gúrkutíð	k u r_0 k Y t_h i D
gústaf	k u s t a v
gústafsson	k u s t a f s O n
gústavsson	k u s t a f s O n
gýgur	c i: G Y r
ha	h a:
haag	h a: G
haarde	h O r t E
hadda	h a t a
hafa	h a: v a
hafdís	h a v t i s
haffa	h a f a
haffærisskírteini	h a f ai r I s c i r_0 t ei n I
hafi	h a: v I
hafin	h a: v I n
hafinn	h a: v I n
hafinu	h a: v I n Y
hafir	h a: v I r
hafist	h a: v I s t
hafið	h a: v I D
hafna	h a p n a
hafnar	h a p n a r
hafnarbakkanum	h a p n a r p a h k a n Y m
hafnarboltaknattleik	h a p n a r p O l_0 t a k_h n a h t l ei k
hafnarborgar	h a p n a r p O r k a r
hafnarfirði	h a p n a r_0 f I r D I
hafnarfjarðarbæ	h a p n a r_0 f j a r D a r p ai
hafnarfjarðarbær	h a p n a r_0 f j a r D a r_0 p ai r
hafnarfjarðarkirkja	h a p n a r_0 f j a r D a r_0 c_h I r_0 c a
hafnarfjarðarkirkju	h a p n a r_0 f j a r D a r_0 c_h I r_0 c Y
hafnarframkvæmdum	h a p n a r_0 f r a m k_h v ai m t Y m
hafnarhús	h a p n a r_0 h u s
hafnarhúsi	h a p n a r_0 h u s I
hafnarhúsinu	h a p n a r_0 h u s I n Y
hafnarhúsið	h a p n a r_0 h u s I D
hafnarkjaftur	h a p n a r_0 c_h a f t Y r
hafnarstræti	h a p n a r_0 s t r ai t I
hafnarsvæðinu	h a p n a r_0 s v ai D I n Y
hafnarvogin	h a p n a r v Oi j I n
hafnað	h a p n a D
hafnaði	h a p n a D I
hafnfirðinga	h a p n_0 f I r D i N k a
hafni	h a p n I
hafnir	h a p n I r
hafragrautur	h a v r a k r 9i t Y r
hafrannsóknastofnun	h a v r a n s ou h k n a s t O p n Y n
hafrannsóknastofnunar	h a v r a n s ou h k n a s t O p n Y n a r
hafrannsóknastofnunarinnar	h a v r a n s ou h k n a s t O p n Y n a r I n a r
hafsbotni	h a f s p O h t n I
hafsins	h a f s I n s
hafsjór	h a f s j ou r
hafstein	h a f s t ei n
hafsteins	h a f s t ei n s
hafsteinsdóttir	h a f s t ei n s t ou h t I r
hafsteinsdóttur	h a f s t ei n s t ou h t Y r
hafstjarnan	h a f s t j a r t n a n
haft	h a f t
hafta	h a f t a
hafti	h a f t I
hafurtask	h a: v Y r t_h a s k
hafði	h a v D I
hafðu	h a v D Y
hafður	h a v D Y r
hafþórsson	h a f T ou r_0 s O n
hag	h a: G
haga	h a: G a
hagar	h a: G a r
hagatjörn	h a: G a t_h j 9 r t n_0
hagað	h a: G a D
hagbjörtu	h a G p j 9 r_0 t Y
hagfræði	h a x f r ai D I
hagfræðingur	h a x f r ai D i N k Y r
haggast	h a k a s t
haggað	h a k a D
haggaðist	h a k a D I s t
hagið	h ai j I D
hagkaup	h a G k_h 9i p
hagkaupi	h a G k_h 9i p I
hagkerfisins	h a G c_h E r v I s I n s
hagkerfið	h a G c_h E r v I D
hagkvæmari	h a G k_h v ai m r I
hagkvæmastan	h a G k_h v ai m a s t a n
hagkvæmni	h a G k_h v ai m n I
hagkvæmri	h a G k_h v ai m r I
hagkvæmt	h a G k_h v ai m_0 t
hagkvæmur	h a G k_h v ai m Y r
hagl	h a k l_0
haglabyssa	h a k l a p I s a
haglabyssu	h a k l a p I s Y
haglabyssuna	h a k l a p I s Y n a
hagnast	h a k n a s t
hagnaðarskyni	h a k n a D a r_0 s c I n I
hagnaðist	h a k n a D I s t
hagnaður	h a k n a D Y r
hagnaðurinn	h a k n a D Y r I n
hagnýt	h a G n i t
hagnýtingar	h a G n i t i N k a r
hagnýtri	h a G n i t r I
hagrætt	h a G r ai h t
hagræða	h a G r ai D a
hagræði	h a G r ai D I
hagræðingu	h a G r ai D i N k Y
hagsbóta	h a x s p ou t a
hagsmuna	h a x s m Y n a
hagsmunaaðila	h a x s m Y n a a D I l a
hagsmunamál	h a x s m Y n a m au l
hagsmunasamtaka	h a x s m Y n a s a m t_h a k a
hagsmunasamtökum	h a x s m Y n a s a m t_h 9 k Y m
hagsmuni	h a x s m Y n I
hagsmunir	h a x s m Y n I r
hagsmunum	h a x s m Y n Y m
hagstofan	h a x s t O v a n
hagstofu	h a x s t O v Y
hagstætt	h a x s t ai h t
hagstæðara	h a x s t ai D a r a
hagstæðari	h a x s t ai D a r I
hagsæld	h a x s ai l t
hagur	h a: G Y r
hagvaxtarskeið	h a G v a k s t a r_0 s c ei D
hagvexti	h a G v E k s t I
hagvöxt	h a G v 9 k s t
hagvöxtur	h a G v 9 k s t Y r
haka	h a: k a
hakka	h a h k a
hala	h a: l a
halarófu	h a: l a r ou v Y
hald	h a l t
halda	h a l t a
haldarann	h a l t a r a n
haldast	h a l t a s t
haldi	h a l t I
haldin	h a l t I n
haldinn	h a l t I n
haldist	h a l t I s t
haldið	h a l t I D
haldlagt	h a l t l a x t
haldnir	h a l t n I r
halds	h a l t s
hall	h a t l_0
halla	h a t l a
hallarbúning	h a t l a r p u n i N k
hallardrykkur	h a t l a r t r I h k Y r
hallað	h a t l a D
hallbjörn	h a t l_0 p j 9 r t n_0
halldór	h a l t ou r
halldóra	h a l t ou r a
halldóri	h a l t ou r I
halldórs	h a l t ou r_0 s
halldórsdóttir	h a l t ou r_0 s t ou h t I r
halldórsdóttur	h a l t ou r_0 s t ou h t Y r
halldórsson	h a l t ou r_0 s O n
halldórssyni	h a l t ou r_0 s I n I
halldóru	h a l t ou r Y
hallelúja	h a: l E l u j a
hallfríður	h a t l_0 f r i D Y r
hallgerður	h a t l_0 c E r D Y r
hallgrím	h a t l_0 k r i m
hallgrímsdóttir	h a t l_0 k r i m s t ou h t I r
hallgrímskirkju	h a t l_0 k r i m s c_h I r_0 c Y
hallgrímskirkjuturn	h a t l_0 k r i m s c_h I r_0 c Y t_h Y r t n_0
hallgrímssonar	h a t l_0 k r i m s O n a r
hallgrímssyni	h a t l_0 k r i m s I n I
halli	h a l I
halloka	h a t l O k a
halls	h a l s
hallsson	h a l s O n
hallur	h a t l Y r
hallvarðsson	h a t l v a r D s O n
hallveig	h a t l v ei G
halló	h a t l ou
haltra	h a l_0 t r a
haltrar	h a l_0 t r a r
haltur	h a l_0 t Y r
ham	h a: m
hamar	h a: m a r
hamarháfi	h a: m a r h au v I
hamars	h a: m a r_0 s
hamarshöggin	h a: m a r_0 s h 9 c I n
hamarslandi	h a: m a r_0 s t l a n t I
hamborg	h a m p O r k
hamborgarhryggnum	h a m p O r k a r_0 I k n Y m
hamburg	h a m p Y r k
hamilton	h a: m I l t_h O n
hamingjan	h a: m i J c a n
hamingju	h a: m i J c Y
hamingjuna	h a: m i J c Y n a
hamingjunni	h a: m i J c Y n I
hamingjuríkt	h a: m i J c Y r i x t
hamingjusama	h a: m i J c Y s a m a
hamingjusaman	h a: m i J c Y s a m a n
hamingjusamir	h a: m i J c Y s a m I r
hamingjusamt	h a: m i J c Y s a m_0 t
hamingjusamur	h a: m i J c Y s a m Y r
hamingjusöm	h a: m i J c Y s 9 m
hamingjusömu	h a: m i J c Y s 9 m Y
hamla	h a m l a
hammarby	h a m a r_0 p i
hampa	h a m_0 p a
hampað	h a m_0 p a D
hampaði	h a m_0 p a D I
hamra	h a m r a
hamskiptum	h a m s c I f t Y m
hamslausri	h a m s t l 9i s r I
hamstur	h a m s t Y r
hamsturinn	h a m s t Y r I n
hana	h a: n a
handa	h a n t a
handagangur	h a n t a k au N k Y r
handahreyfingum	h a n t a r_0 ei v i N k Y m
handahófi	h a n t a h ou v I
handan	h a n t a n
handar	h a n t a r
handarhreyfingu	h a n t a r_0 ei v i N k Y
handarkrikann	h a n t a r_0 k_h r I k a n
handarkrikanum	h a n t a r_0 k_h r I k a n Y m
handarkrikunum	h a n t a r_0 k_h r I k O n Y m
handavinnustofurnar	h a n t a v I n Y s t O v Y r t n a r
handbolta	h a n t p O l_0 t a
handboltakvöld	h a n t p O l_0 t a k_h v 9 l t
handboltanum	h a n t p O l_0 t a n Y m
handbolti	h a n t p O l_0 t I
handboltinn	h a n t p O l_0 t I n
handbragð	h a n t p r a G D
handbragði	h a n t p r a G D I
handbremsa	h a n t p r E m s a
handbók	h a n t p ou k
handfanginu	h a n t f au J c I n Y
handfestu	h a n t f E s t Y
handfylli	h a n t f I t l I
handjárna	h a n t j au r t n a
handjárnin	h a n t j au r t n I n
handklæði	h a n t k_h l ai D I
handklæðum	h a n t k_h l ai D Y m
handknattleik	h a n t k_h n a h t l ei k
handknattleiksdeildar	h a n t k_h n a h t l ei k s t ei l t a r
handknattleiksmaður	h a n t k_h n a h t l ei k s m a D Y r
handknattleiksráð	h a n t k_h n a h t l ei k s r au D
handknattleikssambandinu	h a n t k_h n a h t l ei k s a m p a n t I n Y
handknattleikur	h a n t k_h n a h t l ei k Y r
handlaginn	h a n t l ai j I n
handlegg	h a n t l E k
handlegginn	h a n t l E c I n
handleggir	h a n t l E c I r
handleggjunum	h a n t l E c O n Y m
handleggsbrotnaði	h a n t l E k s p r O h t n a D I
handleggur	h a n t l E k Y r
handleggurinn	h a n t l E k Y r I n
handmennt	h a n t m E n_0 t
handrit	h a n t r I t
handritið	h a n t r I t I D
handritshöfundar	h a n t r I t s h 9 v Y n t a r
handrið	h a n t r I D
handriðið	h a n t r I D I D
handrukkarinn	h a n t r Y h k a r I n
handskiptum	h a n t s c I f t Y m
handsnyrting	h a n t s t n I r_0 t i N k
handsprengjur	h a n t s p r ei J c Y r
handstýrt	h a n t s t i r_0 t
handtaka	h a n t_h a k a
handtekin	h a n t_h E c I n
handtekinn	h a n t_h E c I n
handtekið	h a n t_h E c I D
handteknir	h a n t_h E h k n I r
handtökin	h a n t_h 9 c I n
handtöku	h a n t_h 9 k Y
handuggum	h a n t Y k Y m
handverks	h a n t v E r_0 k s
handverksmunum	h a n t v E r_0 k s m Y n Y m
handvirkt	h a n t v I r_0 t
handíðaskóla	h a n t i D a s k ou l a
hanga	h au N k a
hangikjöt	h au J c I c_h 9 t
hangikjötsilm	h au J c I c_h 9 t s I l m
hangir	h au J c I r
hangs	h au N s
hangsa	h au N s a
hanki	h au J_0 c I
hann	h a n
hanna	h a n a
hannað	h a n a D
hannaðar	h a n a D a r
hannaði	h a n a D I
hannes	h a n E s
hannesar	h a n E s a r
hannesson	h a n E s O n
hannessonar	h a n E s O n a r
hannessyni	h a n E s I n I
hannover	h a n ou v E r
hans	h a n s
hansen	h a n s E n
happ	h a h p
happdrætti	h a h p t r ai h t I
happdrættis	h a h p t r ai h t I s
happs	h a h p s
harald	h a: r a l t
haraldsdóttur	h a: r a l t s t ou h t Y r
haraldsson	h a: r a l t s O n
haraldssonar	h a: r a l t s O n a r
haraldssyni	h a: r a l t s I n I
haraldur	h a: r a l t Y r
harka	h a r_0 k a
harla	h a r t l a
harma	h a r m a
harmar	h a r m a r
harmkvæli	h a r m k_h v ai l I
harmkvælum	h a r m k_h v ai l Y m
harmleikur	h a r m l ei k Y r
harmonikkuleikari	h a r m O n I h k Y l ei k a r I
harmur	h a r m Y r
harpa	h a r_0 p a
harry	h a r i
hart	h a r_0 t
harða	h a r D a
harðar	h a r D a r
harðardóttir	h a r D a r_0 t ou h t I r
harðari	h a r D a r I
harðarson	h a r D a r_0 s O n
harðastökki	h a r D a s t 9 h c I
harðfisk	h a r D f I s k
harðfiskhjallur	h a r D f I s k C a t l Y r
harðlega	h a r D l E G a
harðlæst	h a r D l ai s t
harðlífi	h a r D l i v I
harðnandi	h a r t n a n t I
harðneskjulegt	h a r D n E s c Y l E x t
harðri	h a r D r I
harðsperrur	h a r D s p E r Y r
harðstjórn	h a r D s t j ou r t n_0
harður	h a r D Y r
harðákveðin	h a r D au k_h v E D I n
has	h a s
hassi	h a s I
hata	h a: t a
hatrið	h a: t r I D
hatta	h a h t a
hattinum	h a h t I n Y m
hatur	h a: t Y r
haughúss	h 9i G h u s
haukadal	h 9i: k a t a l
haukar	h 9i: k a r
hauksdóttir	h 9i k s t ou h t I r
hauksson	h 9i k s O n
haukur	h 9i: k Y r
haus	h 9i: s
hausamótunum	h 9i: s a m ou t O n Y m
hausarnir	h 9i: s a r t n I r
hausnum	h 9i s t n Y m
haust	h 9i s t
hausta	h 9i s t a
haustdögum	h 9i s t 9 G Y m
haustfundur	h 9i s t f Y n t Y r
haustið	h 9i s t I D
haustmyrkurs	h 9i s t m I r_0 k Y r_0 s
hausts	h 9i s t s
haustskrúða	h 9i s t s k r u D a
have	h E v
heart	h a r_0 t
hebba	h E p a
hef	h E: v
hefi	h E: v I
hefja	h E v j a
hefjast	h E v j a s t
hefnast	h E p n a s t
hefnd	h E m t
